Time,Acel X,Acel Y,Acel z,Gyro X,Gyro Y,Gyro Z
1661111705.632494,-13604,8244,-2920,5871,-2816,-2330
1661111705.747436,-13264,7156,-2864,4644,-4402,-1624
1661111705.86224,-14488,6672,-1644,6697,-7775,1089
1661111705.973251,-13908,7380,-972,2517,-8564,1018
1661111706.083066,-14220,7344,512,1928,-6192,1459
1661111706.189633,-14656,8012,1736,-132,-948,1016
1661111706.304547,-13656,8100,864,2444,-1101,2200
1661111706.414802,-14336,7012,3976,-3809,-1467,-502
1661111706.521243,-13736,8504,2612,55,-1544,-91
1661111706.631948,-14252,8952,2184,2297,-7,1546
1661111706.742558,-11420,7112,4600,-2391,-18951,-8923
1661111706.857466,-12388,5724,8256,-854,-10414,-8085
1661111706.971941,-10748,6380,12120,-594,-14915,-5526
1661111707.082512,-10244,3996,13824,-2317,-10197,-6944
1661111707.192961,-9256,3076,14020,-701,-5652,-1232
1661111707.303739,-9204,2444,15308,-784,-5811,-3886
1661111707.418413,-7912,1956,15616,-315,-2999,-2299
1661111707.52501,-7412,1348,16036,-586,-3784,-2001
1661111707.639417,-5884,1756,16812,296,-4804,-2222
1661111707.750034,-5540,1164,17088,749,-3307,-1672
1661111707.860762,-4544,1048,17232,-178,-2187,-88
1661111707.971283,-3872,952,17444,-45,-69,-433
1661111708.082023,-1732,532,17784,264,-2164,65
1661111708.196559,-1528,196,18040,444,-5299,-4210
1661111708.306937,1436,-220,17992,-447,-8102,-5154
1661111708.417821,2252,212,17676,-505,-7210,-6276
1661111708.5284,3696,-124,17696,-1142,-6237,-4288
1661111708.63894,4768,-4508,17384,-3594,-6389,-3237
1661111708.75381,6136,-2124,15852,-4357,-4162,-7331
1661111708.868277,6248,-1640,16620,-3573,-1928,-7287
1661111708.974771,5732,-2808,15996,-1309,116,-2037
1661111709.085639,7696,-2032,16480,-989,82,-2004
1661111709.191822,6652,-2740,16296,-901,529,-92
1661111709.306347,7368,-2896,16292,-222,707,-48
